name,category,access,popularity,support,machine,learningCurve,license,website,training,fileTypes,examples,functionality,image
Social Explorer,Database with mapping functionality,On-campus / Off-campus via VPN,5,Full support,Web-based,Beginner,Proprietary (Free for NYU),http://www.socialexplorer.com/,https://www.socialexplorer.com/help,http://www.socialexplorer.com/help,http://www.socialexplorer.com/blog/post,"Data Discovery, Basic Visualization, Web Publishing, Thematic Maps",https://s3.amazonaws.com/nyu-gis-visualization/social_explorer_icon.png
Simply Map,Database with mapping functionality,On-campus / Off-campus via VPN,5,Full support,Web-based,Beginner,Proprietary (Free for NYU),http://simplymap.com/login.html,https://simplymap.zendesk.com/hc/en-us/sections/200837666-Tips-Tricks,https://simplymap.com/help/usa/output_from_simplymap.htm,http://geographicresearch.com/simplymap/news/,"Data Discovery, Basic Visualization, Web Publishing, Thematic Maps",https://s3.amazonaws.com/nyu-gis-visualization/simply_map_icon.png
NYU SDR,Database with mapping functionality,On-campus / Off-campus via VPN,4,Full support,Web-based,Beginner,Proprietary (Free for NYU),https://geo.nyu.edu/,,,https://geo.nyu.edu/catalog/nyu_2451_34167,"Data Discovery, Basic Visualization, Data Interoperability",https://s3.amazonaws.com/nyu-gis-visualization/NYU_Spatial_Data_Repository.png
Policy Map,Database with mapping functionality,On-campus / Off-campus via VPN,3,Full support,Web-based,Beginner,Proprietary (Free for NYU),https://www.policymap.com/,https://www.policymap.com/support/tutorial/,https://www.policymap.com/support/tutorial/maps-tutorial/print-save-email-embed/,https://www.policymap.com/blog/,"Data Discovery, Basic Visualization, Web Publishing, Thematic Maps",https://s3.amazonaws.com/nyu-gis-visualization/policy_map_icon.png
Geolytics,Database with mapping functionality,On-campus / Off-campus via VPN,3,Full support,Web-based,Intermediate,Proprietary (Free for NYU),http://demographics.geolytics.com/ncdb2010/login.aspx,,http://demographics.geolytics.com/ncdb2010/default.aspx#anchor-report-type,,Data Discovery,http://www.geolytics.com/images/logo-bot.gif
Dev Info,Database with mapping functionality,Personal computer / NYU Labs,2,Limited support,"Windows, Web-based",Beginner,Open Source (Free),http://www.devinfo.org/libraries/aspx/Home.aspx,http://www.devinfo.org/libraries/aspx/DevInfoTraining.aspx?T=TG&PN=diorg/di_training.html,http://www.devinfo.org/articles/My-Data-47,http://www.devinfo.org/articles/action,"Data Discovery, Basic Visualization, Web Publishing, Thematic Maps",https://s3.amazonaws.com/nyu-gis-visualization/logo.png
Tableau Public,Application / Library / Visualization tool,Personal computer / VCL / NYU Labs,5,Limited support,"Windows, Mac, Web-based",Intermediate,Proprietary (Free for NYU),https://public.tableau.com/s/,http://www.tableau.com/learn,http://onlinehelp.tableau.com/current/pro/desktop/en-us/environ_filesandfolders.html,https://public.tableau.com/s/gallery,"Basic Visualization, Advanced Visualization",https://s3.amazonaws.com/nyu-gis-visualization/tableau_software_icon.png
Plot.ly,Application / Library / Visualization tool,Personal Computer,4,Limited support,Web-based,Intermediate,Proprietary (Free for NYU),https://plot.ly/,http://help.plot.ly/,,https://plot.ly/ipython-notebooks/gallery/#plotly-basics,"Basic Visualization, Advanced Visualization",https://s3.amazonaws.com/nyu-gis-visualization/Plotly_logo_for_digital_final_(6).png
Leaflet,Application / Library / Visualization tool,Personal computer / NYU Labs,4,Limited support,Web-based,Intermediate,Open Source (Free),http://leafletjs.com/,http://leafletjs.com/examples.html,,http://leafletjs.com/,Other - Apps Toolkit etc,https://s3.amazonaws.com/nyu-gis-visualization/leaflet_icon.png
DH Press,Application / Library / Visualization tool,Personal computer / NYU Labs,3,Limited support,Web-based,Intermediate,Open Source (Free),http://dhpress.org/,http://dhpress.org/training/,,http://dhpress.org/project-showcase/,Other - Apps Toolkit etc,https://s3.amazonaws.com/nyu-gis-visualization/dh_press_icon.png
Neatline,Application / Library / Visualization tool,Personal computer / NYU Labs,2,Limited support,Web-based,Intermediate,Open Source (Free),http://neatline.org/,http://docs.neatline.org/communitydocs.html,,http://neatline.org/demos/,Other - Apps Toolkit etc,https://s3.amazonaws.com/nyu-gis-visualization/neatline_icon.png
Mapbox,Application / Library / Visualization tool,Personal computer / NYU Labs,2,No support,Web-based,Intermediate,Proprietary (Free - basic),https://www.mapbox.com/,https://www.mapbox.com/tilemill/docs/crashcourse/introduction/,,https://www.mapbox.com/gallery/,Other - Apps Toolkit etc,https://s3.amazonaws.com/nyu-gis-visualization/mapbox_logo.png
Silk.co,Application / Library / Visualization tool,Personal computer / VCL / NYU Labs,2,No support,Web-based,Intermediate,Proprietary (Free for NYU),https://www.silk.co/,https://www.silk.co/product,,https://www.silk.co/product,Basic Visualization,https://s3.amazonaws.com/nyu-gis-visualization/startup-silk-logo.png
